Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),Solution(s)
94,3 7 8 8,5.65,96.4%,6.05,2.06,"(7-3)*8-8, (8-7)*8*3, (8/8+7)*3 "
95,6 7 12 12,5.65,95.8%,6,2.04,(12+12)*(7-6) 
96,2 7 7 8,5.66,97%,6.03,2.05,"8+7+7+2, (7/7+2)*8 "
97,5 5 7 7,5.66,97.9%,6.02,1.94,"7+7+5+5, 7*7-5*5, 5*5-7/7, (7+5)*(7-5) "
98,2 2 2 3,5.68,99%,5.95,1.7,"(2+2)*3*2, 3*2*2*2 "
99,3 3 4 6,5.68,97.8%,6.11,2.08,6*4+3-3 
100,3 3 11 12,5.69,94.8%,6.14,2.25,"(11-3*3)*12, 3/3+12+11, 11*3+3-12 "
101,4 5 11 12,5.69,97.5%,6.11,2.11,"(11-5-4)*12, 12+11+5-4, (12+5-11)*4 "
102,1 1 2 10,5.7,95.8%,6,1.83,"(10+2)*(1+1), (10+1+1)*2 "
103,1 7 9 12,5.7,96.3%,6.11,2.22,"(7+1)*(12-9), (9-7)*12*1 "
104,1 6 9 12,5.71,95.6%,6.07,2.09,"(9-6-1)*12, (12+1-9)*6, 12/(9/6-1), 6/(1-9/12) "
105,1 1 10 13,5.74,98%,6.15,2.18,(13+10+1)*1 
106,1 2 5 12,5.74,95.4%,6.16,2.21,"(5-2-1)*12, (5+1)*2+12, (5-1)*12/2 "
107,4 4 11 13,5.74,98%,6.32,2.37,"13+11+4-4, (13+4-11)*4 "
108,1 2 2 12,5.75,97.9%,6.13,2,"(2-1)*12*2, (12+1)*2-2, (12-1)*2+2, (2/2+1)*12 "
109,3 6 11 11,5.75,94.6%,6.07,2.12,"6/3+11+11, (11/11+3)*6 "
110,6 6 12 12,5.75,98.4%,6.29,2.32,"12+12+6-6, (12-6)*6-12 "
111,7 8 12 12,5.75,96.1%,6.17,2.16,(12+12)*(8-7) 
112,3 7 7 7,5.77,97.7%,6.12,2.05,"7+7+7+3, (7/7+7)*3 "
113,1 2 2 10,5.78,96.5%,6.16,2.2,"(10-2)*(2+1), (10+2)*2*1, (10+1)*2+2 "
114,1 6 6 11,5.78,98.3%,6.25,2.24,"11+6+6+1, (11-6-1)*6, 6*6-11-1 "
115,1 7 7 10,5.78,98%,6.19,2.11,"(7+1)*(10-7), (10+7+7)*1 "
116,2 2 3 12,5.78,98.2%,6.21,2.05,"(2+2)*3+12, (12-2-2)*3, 3*2*2+12, (12-2*2)*3, (3-2/2)*12, (3-2)*12*2, 12/(2-3/2), (12/2+2)*3 "
117,4 8 11 11,5.78,95.3%,6.11,2.02,"8/4+11+11, (4-11/11)*8 "
118,2 2 12 12,5.79,98.6%,6.27,2.23,"12+12+2-2, (12*2-12)*2 "
119,1 5 6 12,5.8,98.6%,6.19,2.07,"12+6+5+1, (5+1)*6-12, (6+1-5)*12, (12-6)*(5-1) "
120,6 6 11 13,5.8,98%,6.31,2.2,"(6+6)*(13-11), 13+11+6-6, (11+6-13)*6 "
121,2 8 9 9,5.81,96.6%,6.24,2.13,"9+9+8-2, (9/9+2)*8 "
122,3 4 4 6,5.82,97.6%,6.17,1.96,"(6-4)*4*3, (4*3-6)*4, (4-3)*6*4, (4+4)*(6-3), (6/3+4)*4, (4/4+3)*6 "
123,3 8 8 8,5.82,97.6%,6.15,2.13,"8*3+8-8, (8*8+8)/3 "
124,4 6 9 9,5.82,96.5%,6.23,2.27,6*4+9-9 
125,12 12 12 13,5.82,97.6%,6.14,1.99,"(12+12)*(13-12), 13+12-12/12 "
126,8 9 12 12,5.85,96.4%,6.32,2.25,"(12+12)*(9-8), (12-8)*9-12, 12*12/9+8 "
127,9 9 11 13,5.85,97%,6.39,2.38,13+11+9-9 
128,11 13 13 13,5.86,98%,6.43,2.4,13+13+11-13 
129,7 7 11 13,5.88,97.7%,6.43,2.36,"13+11+7-7, (13-7)*(11-7) "
130,5 6 11 12,5.89,97.3%,6.4,2.26,"12+11+6-5, (11+5-12)*6, (11-5)*6-12 "
131,1 5 8 8,5.9,95%,6.49,2.71,"(5-1)*8-8, (8-5)*8*1 "
132,3 8 12 13,5.9,96.2%,6.26,2.2,"(13-8-3)*12, (13-12)*8*3, (13+3)*12/8 "
133,4 6 6 7,5.9,96.5%,6.28,2.13,"(7-6)*6*4, (7-4)*6+6, (7-6/6)*4 "
134,2 10 10 12,5.91,97.2%,6.32,2.32,"(10+2)*(12-10), 12*2+10-10 "
135,4 4 11 12,5.91,92%,6.22,2.48,4/4+12+11 
136,4 5 12 13,5.91,97.8%,6.43,2.14,"13+12+4-5, (13-5)*12/4, (13+5-12)*4 "
137,1 4 8 12,5.92,97.7%,6.33,2.23,"12*8*1/4, (8+1)*4-12, (12+8+4)*1, 12/(1-4/8) "
138,2 4 4 12,5.92,98.5%,6.29,2.15,"(12-4-2)*4, 4*2+12+4, 12*4/(4-2), (4-4/2)*12, 12*2+4-4 "
139,1 4 4 12,5.93,95.8%,6.39,2.35,"(12-4)*(4-1), (4-1)*4+12, (4/4+1)*12 "
140,1 3 6 12,5.94,96.9%,6.35,2.22,"(12-6)*(3+1), (6-3-1)*12, 12*6*1/3, (3-1)*6+12, 12/(1-3/6) "
141,1 4 6 12,5.95,96.7%,6.45,2.56,"(12-6)*4*1, 12*6/(4-1), (6-4)*12*1, 12/(6/4-1), (12/4+1)*6 "
142,1 4 5 12,5.96,95.8%,6.41,2.36,"(5+1-4)*12, (12-5-1)*4 "
143,1 8 10 12,5.96,95.9%,6.27,2.19,"(12+1-10)*8, (10-8)*12*1 "
144,4 6 8 8,5.96,97%,6.41,2.28,"6*4+8-8, (6-4)*8+8, (8+8)*6/4, (8+4)*(8-6) "
145,1 12 13 13,5.97,94.6%,6.32,2.21,(13/13+1)*12 
146,2 4 11 11,5.97,96.4%,6.38,2.35,"11+11+4-2, 4/2+11+11 "
147,3 6 6 8,5.97,97.1%,6.39,2.26,"8*3+6-6, (8-3)*6-6 "
148,3 6 13 13,5.97,94.5%,6.2,2,"13+13-6/3, (13/13+3)*6 "
149,3 4 11 13,5.98,96.6%,6.45,2.36,"(13-11)*4*3, (13+11)*(4-3), 11*3+4-13, 13*3-11-4 "
150,3 8 10 11,5.98,94.5%,6.36,2.39,(11-10)*8*3 
151,9 10 12 12,5.98,95.9%,6.31,2.08,(12+12)*(10-9) 
152,1 11 11 12,5.99,93.8%,6.24,2.22,(11/11+1)*12 
153,3 6 7 7,5.99,93.7%,6.4,2.47,"(7+7-6)*3, (7/7+3)*6 "
154,4 6 10 11,5.99,94.6%,6.37,2.41,(11-10)*6*4 
155,1 1 3 13,6,95.2%,6.37,2.11,(13-1)*(3-1) 
156,4 8 10 10,6.01,97.2%,6.44,2.18,"10+10+8-4, (10-8)*10+4, (4-10/10)*8 "
157,6 6 10 13,6.01,93.9%,6.57,2.76,"6/6+13+10, (13-10)*6+6 "
158,10 10 11 13,6.01,97.5%,6.54,2.34,13+11+10-10 
159,1 2 6 6,6.02,97.6%,6.48,2.25,"(2+1)*6+6, (6+6)*2*1, (6-2)*6*1, (6/2+1)*6 "
160,1 2 4 4,6.03,97.3%,6.37,2.11,"(4+4)*(2+1), (4+2)*4*1, (4-1)*4*2 "
161,1 5 7 11,6.03,98.6%,6.49,2.15,"11+7+5+1, (5+1)*(11-7), (11+1)*(7-5), (7*5-11)*1 "
162,3 7 10 10,6.03,97.3%,6.42,2.21,"10+10+7-3, (10/10+7)*3 "
163,1 2 11 11,6.04,97.4%,6.52,2.42,(11+11+2)*1 
164,1 3 3 12,6.04,95.6%,6.45,2.39,"(3+1)*3+12, (12-3-1)*3, (3/3+1)*12 "
165,1 5 8 12,6.04,98.2%,6.5,2.2,"(5+1)*(12-8), (8-5-1)*12, 12+8+5-1, 12*8/(5-1) "
166,1 6 7 10,6.04,98.6%,6.58,2.25,"10+7+6+1, (10+1-7)*6, (7-1)*(10-6) "
167,4 6 10 10,6.04,96.8%,6.42,2.41,"6*4+10-10, 10*4-10-6, (10-4)*(10-6) "
168,1 10 10 12,6.05,92.7%,6.31,2.16,(10/10+1)*12 
169,2 8 8 12,6.05,97.5%,6.56,2.46,"(8-2)*(12-8), 8/2+12+8, 12*2+8-8 "
170,10 11 12 12,6.05,96.2%,6.36,2.1,"(12+12)*(11-10), (12+10)*12/11 "
171,1 7 8 10,6.06,97.7%,6.49,2.31,"10+8+7-1, (10-7)*8*1 "
172,2 8 10 10,6.06,95.6%,6.39,2.12,"8/2+10+10, (10+2)*(10-8), (10+10-8)*2, (10/10+2)*8 "
173,3 4 12 12,6.06,94.8%,6.54,2.46,"(12+12)*(4-3), (12-3)*4-12 "
174,4 8 13 13,6.06,94.6%,6.35,1.98,"13+13-8/4, (4-13/13)*8 "
175,5 5 5 5,6.06,95.3%,6.53,2.28,5*5-5/5 
176,1 2 10 12,6.07,97.5%,6.59,2.39,(12+10+2)*1 
177,1 3 6 8,6.07,95.8%,6.54,2.59,"(8-3-1)*6, 8*6/(3-1), (6-3)*8*1, (6/3+1)*8 "
178,1 7 8 9,6.07,97.3%,6.52,2.32,"(9+1-7)*8, (9+8+7)*1 "
179,1 2 6 12,6.09,97.1%,6.48,2.29,"12*6/(2+1), (6*2+12)*1, (6/2-1)*12 "
180,2 2 11 13,6.09,98.1%,6.65,2.45,13+11+2-2 
181,5 6 12 13,6.1,97.6%,6.52,2.16,"(13-6-5)*12, 13+12+5-6, (12+5-13)*6 "
182,1 1 4 4,6.11,94.6%,6.4,2.43,(4+1+1)*4 
183,3 8 12 12,6.11,96.8%,6.59,2.51,"8*3+12-12, 12/3+12+8, (12-8)*3+12 "
184,4 5 5 5,6.11,97.7%,6.66,2.44,"5*5+4-5, (5/5+5)*4 "
185,4 7 7 8,6.11,94%,6.6,2.54,"(7+7-8)*4, (4-7/7)*8 "
186,1 6 12 12,6.12,94.4%,6.51,2.45,"12*12*1/6, 12/(1-6/12) "
187,3 3 4 8,6.13,96.5%,6.49,2.17,"(3+3)*(8-4), (4-3/3)*8, (4-3)*8*3 "
188,1 3 9 12,6.16,96.5%,6.59,2.41,"(3+1)*9-12, (12-1)*3-9, (12+9+3)*1, (9/3-1)*12 "
189,1 1 3 4,6.17,98.2%,6.5,2.04,(1+1)*4*3 
190,1 6 8 9,6.17,98.3%,6.63,2.38,"9+8+6+1, (9-6)*8*1, 8/(1-6/9) "
191,3 9 9 9,6.17,97.6%,6.61,2.21,"9+9+9-3, (9*9-9)/3, (9-9/9)*3 "
192,1 2 3 10,6.18,98.4%,6.52,2.01,"10*2+3+1, (10-2)*3*1, (10+3-1)*2, (10+2)*(3-1) "
193,1 2 6 8,6.18,96.2%,6.52,2.35,"(6-2-1)*8, 8*6*1/2, (8+1)*2+6 "
194,2 11 12 12,6.18,95.8%,6.61,2.32,"(12-11)*12*2, (12/12+11)*2 "
195,3 3 3 12,6.18,97.1%,6.71,2.49,"(3+3)*12/3, 3*3+12+3, (3-3/3)*12, (12-3)*3-3 "
196,1 1 6 6,6.19,97.5%,6.61,2.24,"(6+6)*(1+1), (6-1-1)*6 "
197,1 7 7 12,6.19,89.1%,6.32,2.36,(7/7+1)*12 
198,2 2 11 12,6.19,92.7%,6.58,2.56,2/2+12+11 
199,5 5 12 13,6.19,95.6%,6.67,2.17,"5*5+12-13, 13+12-5/5 "
200,1 2 4 8,6.2,96.7%,6.62,2.38,"(8+4)*2*1, (4+1-2)*8, (8-2)*4*1, (4/2+1)*8 "
201,8 8 11 12,6.2,91%,6.61,2.74,8/8+12+11 
202,1 1 9 13,6.22,97.3%,6.67,2.53,13+9+1+1 
203,1 5 7 13,6.22,98%,6.63,2.14,"13+7+5-1, (13-7)*(5-1), (13-1)*(7-5) "
204,1 7 8 8,6.22,96.7%,6.72,2.65,8+8+7+1 
205,3 3 11 13,6.22,97.1%,6.76,2.56,13+11+3-3 
206,3 8 11 12,6.22,94.3%,6.73,2.75,(12-11)*8*3 
207,1 5 5 12,6.23,90%,6.45,2.41,(5/5+1)*12 
208,2 8 13 13,6.23,90.3%,6.57,2.67,(13/13+2)*8 
209,10 13 13 13,6.24,93.6%,6.73,2.89,13/13+13+10 
210,1 2 13 13,6.25,97.3%,6.96,2.69,(13+13-2)*1 
211,2 2 4 5,6.25,98.4%,6.61,2.08,"5*4+2+2, (2+2)*5+4, 5*4+2*2, 5*2*2+4, (2/2+5)*4, (5-2)*4*2 "
212,5 5 11 13,6.25,96.4%,6.91,2.65,13+11+5-5 
213,2 11 11 11,6.26,89.6%,6.36,2.55,(11/11+11)*2 
214,3 3 3 6,6.26,97.8%,6.81,2.61,"6*3+3+3, (3+3)*3+6, (3/3+3)*6, (6+3)*3-3 "
215,5 5 5 6,6.26,96.5%,6.7,2.32,"5*5+5-6, (5-5/5)*6 "
216,1 2 3 8,6.28,97.1%,6.71,2.45,"(2-1)*8*3, (8-2)*(3+1), (8+3+1)*2, 8/(1-2/3) "
217,2 13 13 13,6.28,90.8%,6.46,2.41,(13-13/13)*2 
218,10 10 11 12,6.28,93.6%,6.67,2.39,10/10+12+11 
219,11 12 13 13,6.28,95.4%,6.74,2.47,"13/13+12+11, (13+11)*(13-12) "
220,1 4 7 8,6.29,96.5%,6.83,2.76,"8*4-7-1, (7+1)*4-8, (7-1)*(8-4), (7-4)*8*1 "
221,1 8 10 13,6.29,95%,6.64,2.4,"(13-10)*8*1, (13-1)*(10-8) "
222,2 2 2 8,6.3,96.4%,6.85,2.69,"(8-2)*(2+2), (8+2+2)*2, (8-2)*2*2, (2*2+8)*2, (2/2+2)*8 "
223,3 11 11 12,6.3,91.6%,6.55,2.24,(3-11/11)*12 
224,4 4 5 6,6.3,96%,6.64,2.27,"(5-4/4)*6, (5-4)*6*4 "
225,1 5 10 10,6.31,97.4%,6.69,2.28,10+10+5-1 
226,9 9 12 13,6.31,94.1%,6.67,2.24,"13+12-9/9, (13-9)*9-12 "
227,1 1 5 7,6.32,96.7%,6.67,2.15,"(7+5)*(1+1), (7-1)*(5-1) "
228,1 3 11 11,6.32,97.3%,6.71,2.41,11+11+3-1 
229,1 4 6 8,6.32,95%,6.72,2.59,"(6+1-4)*8, (8-4)*6*1, 8/(1-4/6) "
230,2 3 11 12,6.32,94.9%,6.89,2.85,12+11+3-2 
231,7 7 12 13,6.32,93.9%,6.76,2.42,"7*7-13-12, 13+12-7/7 "
232,1 4 8 8,6.35,96.8%,6.84,2.52,"(8-4-1)*8, (8*4-8)*1, (8/4+1)*8 "
233,1 10 12 12,6.36,96%,6.96,2.92,(12-10)*12*1 
234,3 6 7 8,6.37,97.9%,6.8,2.29,"8+7+6+3, (8+3-7)*6, (7-6)*8*3 "
235,2 7 8 12,6.38,95.3%,6.84,2.59,"(12-7-2)*8, (8-7)*12*2 "
236,6 7 11 12,6.38,96.9%,6.91,2.6,"(7+6-11)*12, 12+11+7-6, (12-6)*(11-7) "
237,1 2 10 11,6.39,97.6%,6.73,2.38,11+10+2+1 
238,1 2 3 12,6.4,96.4%,6.93,2.59,"(3+1-2)*12, (3+1)*12/2, 12/(3/2-1) "
239,1 2 12 12,6.4,96.3%,6.73,2.19,"(2+1)*12-12, (12+12)*(2-1) "
240,4 8 9 9,6.4,90.7%,6.62,2.4,(4-9/9)*8 
241,1 2 2 8,6.41,93.5%,6.83,2.71,"(2+2-1)*8, (2*2-1)*8 "
242,1 5 8 9,6.41,94.3%,6.92,2.72,"(9-5-1)*8, (9-1)*(8-5), 9/(1-5/8) "
243,4 4 10 13,6.43,93.6%,6.9,2.85,"(4+4)*(13-10), 4/4+13+10 "
244,7 9 11 11,6.43,95.8%,6.91,2.69,11+11+9-7 
245,10 10 10 13,6.43,93.4%,6.9,3.01,10/10+13+10 
246,1 4 4 5,6.44,96.7%,7.01,2.74,(5*4+4)*1 
247,2 12 12 12,6.45,98.4%,6.79,2.43,"12*2+12-12, (12+12)/2+12 "
248,2 12 12 13,6.46,95.7%,6.87,2.43,"(13-12)*12*2, (13-12/12)*2 "
249,6 6 11 12,6.46,89.4%,6.81,3.01,6/6+12+11 
250,1 1 3 11,6.47,94.8%,6.75,2.03,(11+1)*(3-1) 
251,2 5 6 12,6.47,95.5%,6.84,2.52,"12*6/(5-2), 12*5/2-6, (5-6/2)*12, (6-5)*12*2, 6*5-12/2 "
252,4 6 12 13,6.47,93.8%,6.92,2.92,(13-12)*6*4 
253,1 3 8 9,6.48,92%,7.09,3.4,"9*8*1/3, 3/(9/8-1) "
254,1 2 8 8,6.49,96.2%,7.07,2.77,"(8*2+8)*1, (8/2-1)*8 "
255,3 12 13 13,6.49,91.3%,6.69,2.35,(3-13/13)*12 
256,12 13 13 13,6.49,94.9%,6.86,2.42,"13+12-13/13, (13+13)*12/13 "
257,1 6 9 9,6.5,97.6%,6.97,2.5,"(9-1)*(9-6), (9+9+6)*1 "
258,3 6 10 11,6.5,96.1%,7.19,2.94,"11+10+6-3, (11+3-10)*6 "
259,1 2 4 6,6.51,96%,6.91,2.55,"(2-1)*6*4, (6+2)*(4-1) "
260,2 6 6 12,6.51,97.8%,7.08,2.63,"(12-6-2)*6, (12-6)*(6-2), 12*2+6-6, (6*6+12)/2, (12/6+2)*6 "
261,4 7 12 12,6.51,88.7%,6.84,3.06,"(7-4)*12-12, (12*7+12)/4, (7-12/12)*4 "
262,10 11 11 13,6.51,95.1%,6.96,2.67,"(13+11)*(11-10), 11/11+13+10 "
263,1 4 12 12,6.52,91.4%,6.79,2.6,"(4-1)*12-12, (12/4-1)*12 "
264,1 5 7 8,6.52,94.9%,6.93,2.53,"(7+1-5)*8, (7+1)*(8-5) "
265,1 6 6 13,6.53,97.5%,6.93,2.48,"13+6+6-1, 6*6+1-13 "
266,2 8 11 11,6.53,88.8%,6.73,2.9,(11/11+2)*8 
267,4 5 6 6,6.53,95.5%,6.89,2.4,"(6-5)*6*4, (6/6+5)*4 "
268,1 3 6 6,6.54,97.4%,7.06,2.65,"(6+1-3)*6, (6+6)*(3-1), (6*3+6)*1 "
269,1 8 8 9,6.54,96.5%,7.05,2.72,9+8+8-1 
270,1 9 12 12,6.56,92.9%,6.96,2.79,(12-9-1)*12 
271,3 9 9 12,6.56,95.1%,7,2.62,"9*3+9-12, 9/3+12+9, (3-9/9)*12, (12-9)*9-3 "
272,1 4 6 13,6.59,97.7%,7.02,2.35,"13+6+4+1, (13-6-1)*4, (13-1)*(6-4) "
273,2 4 5 12,6.59,94.8%,7.05,2.87,"(12-4)*(5-2), (5-2)*4+12, (5-4)*12*2 "
274,3 7 9 9,6.59,90.8%,7.03,2.9,"(9+3)*(9-7), (9*7+9)/3, (9/9+7)*3 "
275,1 3 3 5,6.6,95.3%,6.92,2.52,"(5+3)*3*1, (3+3)*(5-1) "
